study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
police,0,0,0,1.0266666666666666,1.999373700004071,,,,,,,,,,,,0,0,0,12,,,,,0.06423760019242764,,0.030324799939990044,0.06423760019242764,0.06423760019242764,2.0455440999940038,1.0266666666666666,1.999373700004071,,,,,,,,,,,,,,,p1,001,2025-10-12_12h36.16.647,word_priming,,2025.1.1,60.39555460584366,2025-10-12 12h36.23.788203 +0530,
cushion,1,1,0,1.0266666666666666,1.1263505001552403,,,,,,,,,,,,0,1,1,1,,,,,2.0770167000591755,,2.0517406002618372,2.0770167000591755,2.0770167000591755,3.1943318000994623,1.0266666666666666,1.1263505001552403,,,,,,,,,,,,,,,p1,001,2025-10-12_12h36.16.647,word_priming,,2025.1.1,60.39555460584366,2025-10-12 12h36.23.788203 +0530,
book,2,2,0,1.0266666666666666,0.7809363999404013,,,,,,,,,,,,0,2,2,0,,,,,3.2094742003828287,,3.197516300249845,3.2094742003828287,3.2094742003828287,3.9938581003807485,1.0266666666666666,0.7809363999404013,,,,,,,,,,,,,,,p1,001,2025-10-12_12h36.16.647,word_priming,,2025.1.1,60.39555460584366,2025-10-12 12h36.23.788203 +0530,
laptop,3,3,0,1.0266666666666666,0.7613606001250446,,,,,,,,,,,,0,3,3,5,,,,,4.00914019998163,,3.9984205001965165,4.00914019998163,4.00914019998163,4.776305000297725,1.0266666666666666,0.7613606001250446,,,,,,,,,,,,,,,p1,001,2025-10-12_12h36.16.647,word_priming,,2025.1.1,60.39555460584366,2025-10-12 12h36.23.788203 +0530,
board ,4,4,0,1.0266666666666666,0.8602309999987483,,,,,,,,,,,,0,4,4,4,,,,,4.8076718002557755,,4.7821030002087355,4.8076718002557755,4.8076718002557755,5.6584936999715865,1.0266666666666666,0.8602309999987483,,,,,,,,,,,,,,,p1,001,2025-10-12_12h36.16.647,word_priming,,2025.1.1,60.39555460584366,2025-10-12 12h36.23.788203 +0530,
mouse,5,5,0,1.0266666666666666,1.0796329001896083,,,,,,,,,,,,0,5,5,8,,,,,5.690328100230545,,5.662154100369662,5.690328100230545,5.690328100230545,6.757961600087583,1.0266666666666666,1.0796329001896083,,,,,,,,,,,,,,,p1,001,2025-10-12_12h36.16.647,word_priming,,2025.1.1,60.39555460584366,2025-10-12 12h36.23.788203 +0530,
case,6,6,0,1.0266666666666666,1.3123959000222385,,,,,,,,,,,,0,6,6,10,,,,,6.7726623001508415,,6.761120300274342,6.7726623001508415,6.7726623001508415,8.089758600108325,1.0266666666666666,1.3123959000222385,,,,,,,,,,,,,,,p1,001,2025-10-12_12h36.16.647,word_priming,,2025.1.1,60.39555460584366,2025-10-12 12h36.23.788203 +0530,
pastry,7,7,0,1.0266666666666666,1.2100427998229861,,,,,,,,,,,,0,7,7,9,,,,,8.121288600377738,,8.095362999942154,8.121288600377738,8.121288600377738,9.322069799993187,1.0266666666666666,1.2100427998229861,,,,,,,,,,,,,,,p1,001,2025-10-12_12h36.16.647,word_priming,,2025.1.1,60.39555460584366,2025-10-12 12h36.23.788203 +0530,
T-shirt,8,8,0,1.0266666666666666,0.9097486999817193,,,,,,,,,,,,0,8,8,7,,,,,9.35263380035758,,9.328768500126898,9.35263380035758,9.35263380035758,10.254242100287229,1.0266666666666666,0.9097486999817193,,,,,,,,,,,,,,,p1,001,2025-10-12_12h36.16.647,word_priming,,2025.1.1,60.39555460584366,2025-10-12 12h36.23.788203 +0530,
chart,9,9,0,1.0266666666666666,0.862328099552542,,,,,,,,,,,,0,9,9,6,,,,,10.269244200084358,,10.257552400231361,10.269244200084358,10.269244200084358,11.137147800065577,1.0266666666666666,0.862328099552542,,,,,,,,,,,,,,,p1,001,2025-10-12_12h36.16.647,word_priming,,2025.1.1,60.39555460584366,2025-10-12 12h36.23.788203 +0530,
keys,10,10,0,1.0266666666666666,0.9301567999646068,,,,,,,,,,,,0,10,10,13,,,,,11.151654799934477,,11.1403565001674,11.151654799934477,11.151654799934477,12.085663700010628,1.0266666666666666,0.9301567999646068,,,,,,,,,,,,,,,p1,001,2025-10-12_12h36.16.647,word_priming,,2025.1.1,60.39555460584366,2025-10-12 12h36.23.788203 +0530,
