trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction.started,key_resp1.started,instructions.stopped,key_resp1.keys,key_resp1.rt,key_resp1.duration,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,thank_you.started,text_2.started,key_resp.started,thank_you.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
2,3,4,7,9,1,1,9,4,9,4,1,[3.9304791000904515],[3.9304898000555113],1,1,9,1,68.5124186,,,,,,,,,68.4975824,68.5124186,68.9958946,68.9959601,69.0123154,70.4279317,9,4,70.4287396,70.443841,71.643007,71.643007,71.6593866,71.7426738,75.6735119,9,4,1,[3.9304791000904515],[3.9304898000555113],69.0123154,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
3,5,4,9,10,2,1,2,9,2,9,1,[2.847589600016363],[2.8475982999661937],1,2,10,2,75.6891827,,,,,,,,,75.6738023,75.6891827,76.1720782,76.1721437,76.1884498,77.6040954,2,9,77.6046729,77.6208962,78.818953,78.818953,78.8360824,78.9187627,81.7666785,2,9,1,[2.847589600016363],[2.8475982999661937],76.1884498,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
4,8,4,12,11,3,1,9,3,9,3,1,[3.0306708000134677],[3.0306792000774294],1,3,11,3,81.7825613,,,,,,,,,81.7669722,81.7825613,82.2661375,82.2662043,82.2823846,83.6975864,9,3,83.6981309,83.7150201,84.9127732,84.9127732,84.9295665,85.0127721,88.0437644,9,3,1,[3.0306708000134677],[3.0306792000774294],82.2823846,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
5,2,5,7,12,4,1,1,6,1,6,1,[4.130035600042902],[4.1300446999957785],1,4,12,4,88.0598049,,,,,,,,,88.0440836,88.0598049,88.5431203,88.5431934,88.5596758,89.9749135,1,6,89.9755391,89.9914141,91.19008,91.19008,91.2067858,91.2901308,95.4204927,1,6,1,[4.130035600042902],[4.1300446999957785],88.5596758,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
6,3,5,8,13,5,1,3,3,3,6,1,[4.03095669997856],[4.030965499929152],1,5,13,5,95.4363823,,,,,,,,,95.4207879,95.4363823,95.9195498,95.9196148,95.9356241,97.3509889,3,3,97.3515339,97.3677301,98.5659214,98.5659214,98.5659214,98.6816347,102.712922,3,6,1,[4.03095669997856],[4.030965499929152],95.9356241,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
7,5,5,10,14,6,1,5,7,5,7,1,[2.5654977000085637],[2.5655072000809014],1,6,14,6,102.7292433,,,,,,,,,102.71322,102.7292433,103.2123881,103.2124517,103.2289236,104.644301,5,7,104.6448471,104.6607072,105.8587595,105.8587595,105.8761282,105.958889,108.5247543,5,7,1,[2.5654977000085637],[2.5655072000809014],103.2289236,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
8,8,5,13,15,7,1,2,4,2,4,1,[3.8807233999250457],[3.880733700003475],1,7,15,7,108.5399379,,,,,,,,,108.5250565,108.5399379,109.0233221,109.0233878,109.0396222,110.45528,2,4,110.4558452,110.4713219,111.6696868,111.6696868,111.6862804,111.7695309,115.6506206,2,4,1,[3.8807233999250457],[3.880733700003475],109.0396222,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
1,2,4,6,16,0,2,9,5,9,5,1,[2.799154300009832],[2.7991642999695614],2,0,16,0,115.6665997,,,,,,,,,115.6509176,115.6665997,116.1493191,116.1493899,116.1655675,117.5805922,9,5,117.5811394,117.5978801,118.779357,118.779357,118.8127162,118.8791669,121.6786952,9,5,1,[2.799154300009832],[2.7991642999695614],116.1655675,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
2,3,4,7,17,1,2,7,2,7,2,1,[2.997983800014481],[2.997992900083773],2,1,17,1,121.6938473,,,,,,,,,121.6789983,121.6938473,122.1934002,122.193476,122.2097599,123.6083403,7,2,123.6088852,123.6243871,124.8233046,124.8233046,124.840355,124.9231872,127.9215137,7,2,1,[2.997983800014481],[2.997992900083773],,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
3,5,4,9,18,2,2,6,1,1,6,1,[3.7470958000048995],[3.747104699956253],2,2,18,2,127.9373739,,,,,,,,,127.9218001,127.9373739,128.4203275,128.420393,128.4366279,129.8523741,6,1,129.8529406,129.8683124,131.0671207,131.0671207,131.0671207,131.1670183,134.9144664,1,6,1,[3.7470958000048995],[3.747104699956253],128.4366279,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
