trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction.started,key_resp1.started,instructions.stopped,key_resp1.keys,key_resp1.rt,key_resp1.duration,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,thank_you.started,text_2.started,key_resp.started,thank_you.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
2,3,4,7,9,1,1,3,7,3,2,1,[3.3142249999800697],[3.3142341999337077],1,1,9,1,67.267849,,,,,,,,,67.2526979,67.267849,67.7509233,67.7509868,67.7673491,69.1831979,3,7,69.1840099,69.199176,70.3975458,70.3975458,70.3975458,70.4979162,73.8124621,3,2,1,[3.3142249999800697],[3.3142341999337077],67.7673491,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
3,5,4,9,10,2,1,7,6,7,6,1,[5.728760999976657],[5.728770199930295],1,2,10,2,73.8275602,,,,,,,,,73.8127544,73.8275602,74.3106788,74.310742,74.327099,75.7433727,7,6,75.7439056,75.7597644,76.958056,76.958056,76.9751877,77.0581219,82.7872267,7,6,1,[5.728760999976657],[5.728770199930295],74.327099,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
4,8,4,12,11,3,1,2,2,2,7,1,[3.946735200006515],[3.946745799970813],1,3,11,3,82.8026899,,,,,,,,,82.787512,82.8026899,83.2855794,83.2856467,83.3017915,84.7175173,2,2,84.7180587,84.7335863,85.932115,85.932115,85.932115,86.0320521,89.9791145,2,7,1,[3.946735200006515],[3.946745799970813],83.3017915,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
5,2,5,7,12,4,1,8,1,7,8,1,[3.980548099963926],[3.980556699912995],1,4,12,4,89.9953521,,,,,,,,,89.9794015,89.9953521,90.478776,90.4788401,90.4946069,91.9103091,8,1,91.9108529,91.9262267,93.1250113,93.1250113,93.1250113,93.2249554,97.2058322,7,8,1,[3.980548099963926],[3.980556699912995],90.4946069,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
6,3,5,8,13,5,1,6,8,6,8,1,[3.513894099975005],[3.513902600039728],1,5,13,5,97.2217438,,,,,,,,,97.2061485,97.2217438,97.7048777,97.704942,97.7211517,99.1367378,6,8,99.1372693,99.1528215,100.3511509,100.3511509,100.3511509,100.4510991,103.9653169,6,8,1,[3.513894099975005],[3.513902600039728],97.7211517,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
7,5,5,10,14,6,1,7,5,7,9,1,[4.996946299914271],[4.996955799986608],1,6,14,6,103.9812694,,,,,,,,,103.9655922,103.9812694,104.4644108,104.464474,104.4812154,105.8960199,7,5,105.8965643,105.9127841,107.0945841,107.0945841,107.1281645,107.2111029,112.2084576,7,9,1,[4.996946299914271],[4.996955799986608],104.4812154,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
8,8,5,13,15,7,1,7,3,7,3,1,[3.5982844999525696],[3.598294600029476],1,7,15,7,112.2235517,,,,,,,,,112.2087426,112.2235517,112.7068648,112.7069294,112.7231988,114.1385733,7,3,114.1391004,114.1551028,115.3529923,115.3529923,115.3699496,115.4519374,119.0505996,7,3,1,[3.5982844999525696],[3.598294600029476],112.7231988,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
1,2,4,6,16,0,2,8,2,8,9,1,[4.379948399960995],[4.379957800032571],2,0,16,0,119.0665877,,,,,,,,,119.0508811,119.0665877,119.5495586,119.5496297,119.5653859,120.9809443,8,2,120.981475,120.9979596,122.179645,122.179645,122.2134794,122.2795013,126.6598148,8,9,1,[4.379948399960995],[4.379957800032571],119.5653859,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
2,3,4,7,17,1,2,3,7,3,7,1,[3.2803939000004902],[3.280401900061406],2,1,17,1,126.6756747,,,,,,,,,126.6601128,126.6756747,127.1590768,127.1591413,127.1748375,128.5900547,3,7,128.5905835,128.6069736,129.7887064,129.7887064,129.8220148,129.8886116,133.1693289,3,7,1,[3.2803939000004902],[3.280401900061406],127.1748375,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
3,5,4,9,18,2,2,2,9,2,9,1,[4.73019769997336],[4.730206999927759],2,2,18,2,133.185875,,,,,,,,,133.1696459,133.185875,133.6857688,133.6858402,133.7022043,135.1009518,2,9,135.1014966,135.1172647,136.3314034,136.3314034,136.3487173,136.431986,141.1625608,2,9,1,[4.73019769997336],[4.730206999927759],,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
4,8,4,12,19,3,2,9,1,9,1,1,[3.3644528000149876],[3.364461300079711],2,3,19,3,141.1773706,,,,,,,,,141.1628459,141.1773706,141.6614326,141.6614973,141.6772722,143.0929812,9,1,143.0935179,143.1088821,144.3076283,144.3076283,144.3249034,144.4075355,147.7723299,9,1,1,[3.3644528000149876],[3.364461300079711],141.6772722,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
5,2,5,7,20,4,2,4,7,1,9,1,[3.414134099963121],[3.414142799912952],2,4,20,4,147.7883115,,,,,,,,,147.7726425,147.7883115,148.271237,148.2713003,148.2876609,149.7032716,4,7,149.7038002,149.7197366,150.9176909,150.9176909,150.9345144,151.0176434,154.4321465,1,9,1,[3.414134099963121],[3.414142799912952],148.2876609,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
6,3,5,8,21,5,2,9,9,9,9,1,[2.7809308000141755],[2.7809395999647677],2,5,21,5,154.447617,,,,,,,,,154.4324244,154.447617,154.931497,154.9315601,154.9477606,156.3634249,9,9,156.3639616,156.3798239,157.577859,157.577859,157.594537,157.6776755,160.4589786,9,9,1,[2.7809308000141755],[2.7809395999647677],154.9477606,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
7,5,5,10,22,6,2,9,7,9,7,1,[3.6146064000204206],[3.6146151000866666],2,6,22,6,160.475712,,,,,,,,,160.4592681,160.475712,160.9589349,160.9589995,160.9753374,162.3901701,9,7,162.3907003,162.4062923,163.6208365,163.6208365,163.6208365,163.7056035,167.3206266,9,7,1,[3.6146064000204206],[3.6146151000866666],160.9753374,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
8,8,5,13,23,7,2,9,9,8,6,1,[3.6471454000566155],[3.6471535000018775],2,7,23,7,167.3353495,,,,,,,,,167.320913,167.3353495,167.8183746,167.8184466,167.8341796,169.2499411,9,9,169.250486,169.2670618,170.4483991,170.4483991,170.4817796,170.5649128,174.2124029,8,6,1,[3.6471454000566155],[3.6471535000018775],167.8341796,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
1,2,4,6,24,0,3,5,4,5,7,1,[3.447870999923907],[3.447879899991676],3,0,24,0,174.2279092,,,,,,,,,174.2126891,174.2279092,174.7117389,174.7118117,174.7278699,176.1429438,5,4,176.1434751,176.1593074,177.358693,177.358693,177.358693,177.4579928,180.9062423,5,7,1,[3.447870999923907],[3.447879899991676],174.7278699,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
2,3,4,7,25,1,3,9,3,9,3,1,[4.6796773000387475],[4.679685999988578],3,1,25,1,180.9216746,,,,,,,,,180.9065228,180.9216746,181.4052139,181.4052779,181.4214521,182.8363316,9,3,182.8368649,182.8530727,184.0348345,184.0348345,184.0681803,184.1513899,188.8314312,9,3,1,[4.6796773000387475],[4.679685999988578],181.4214521,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
3,5,4,9,26,2,3,1,1,1,1,1,[3.431407199939713],[3.431416100007482],3,2,26,2,188.8472866,,,,,,,,,188.8317275,188.8472866,189.3307235,189.330789,189.3469505,190.7623345,1,1,190.762876,190.7790579,191.9770859,191.9770859,191.9942686,192.0771704,195.5089702,1,1,1,[3.431407199939713],[3.431416100007482],189.3469505,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
4,8,4,12,27,3,3,4,3,4,3,1,[3.8134407000616193],[3.8134493000106886],3,3,27,3,195.524313,,,,,,,,,195.5092539,195.524313,196.0072985,196.0073731,196.0228097,197.4390845,4,3,197.4396141,197.4555357,198.6537456,198.6537456,198.671134,198.7535762,202.567372,4,3,1,[3.8134407000616193],[3.8134493000106886],196.0228097,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
5,2,5,7,28,4,3,1,7,1,7,1,[3.4479432000080124],[3.447952099959366],3,4,28,4,202.5839663,,,,,,,,,202.5676639,202.5839663,203.0666439,203.0667096,203.0833444,204.4989867,1,7,204.4995199,204.5153724,205.7134255,205.7134255,205.7301823,205.8132422,209.2615864,1,7,1,[3.4479432000080124],[3.447952099959366],203.0833444,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
6,3,5,8,29,5,3,9,9,9,9,1,[2.832175899995491],[2.832184899947606],3,5,29,5,209.2766342,,,,,,,,,209.2618719,209.2766342,209.7596463,209.7597115,209.7762929,211.1923671,9,9,211.1928983,211.2087929,212.4067372,212.4067372,212.4243235,212.5065666,215.3391407,9,9,1,[2.832175899995491],[2.832184899947606],209.7762929,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
7,5,5,10,30,6,3,3,6,3,5,1,[2.9807494999840856],[2.9807579000480473],3,6,30,6,215.3547809,,,,,,,,,215.3394266,215.3547809,215.8534594,215.8535329,215.8698792,217.2697402,3,6,217.2702714,217.2860609,218.4840504,218.4840504,218.5016258,218.5838969,221.5650009,3,5,1,[2.9807494999840856],[2.9807579000480473],,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
8,8,5,13,31,7,3,6,2,6,2,1,[4.0636939000105485],[4.0637039000866935],3,7,31,7,221.5808811,,,,,,,,,221.5652657,221.5808811,222.0640777,222.0641411,222.0810931,223.4967437,6,2,223.4972717,223.5131216,224.7111721,224.7111721,224.7286695,224.8110959,228.875193,6,2,1,[4.0636939000105485],[4.0637039000866935],222.0810931,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
1,2,4,6,32,0,4,4,3,4,2,1,[2.8312581999925897],[2.831266999943182],4,0,32,0,228.890939,,,,,,,,,228.8754767,228.890939,229.3740119,229.3740763,229.390201,230.8059614,4,3,230.8064944,230.8223131,232.0206091,232.0206091,232.0371521,232.1205172,234.9521754,4,2,1,[2.8312581999925897],[2.831266999943182],229.390201,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
2,3,4,7,33,1,4,4,5,9,5,1,[2.998072399990633],[2.9980811000568792],4,1,33,1,234.9683429,,,,,,,,,234.9524623,234.9683429,235.4514456,235.4515089,235.4671085,236.88335,4,5,236.8838861,236.899668,238.0979067,238.0979067,238.1152149,238.1977633,241.1962228,9,5,1,[2.998072399990633],[2.9980811000568792],235.4671085,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
3,5,4,9,34,2,4,1,3,1,3,1,[3.347096099983901],[3.347104200045578],4,2,34,2,241.2123118,,,,,,,,,241.1965079,241.2123118,241.6954115,241.6954748,241.711564,243.1267819,1,3,243.127317,243.1429115,244.3416143,244.3416143,244.3416143,244.441544,247.7889947,1,3,1,[3.347096099983901],[3.347104200045578],241.711564,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
4,8,4,12,35,3,4,7,6,7,6,1,[4.2975566000677645],[4.297565700020641],4,3,35,3,247.8049802,,,,,,,,,247.7892569,247.8049802,248.2881004,248.2881662,248.304968,249.7199695,7,6,249.7205022,249.7369668,250.918528,250.918528,250.952517,251.0184177,255.3163951,7,6,1,[4.2975566000677645],[4.297565700020641],248.304968,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
5,2,5,7,36,4,4,1,8,1,8,1,[3.647423699963838],[3.6474325000308454],4,4,36,4,255.3315439,,,,,,,,,255.3166755,255.3315439,255.8147323,255.8147968,255.8309239,257.2465287,1,8,257.2470578,257.2629897,258.4610158,258.4610158,258.478491,258.5608879,262.2087346,1,8,1,[3.647423699963838],[3.6474325000308454],255.8309239,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
6,3,5,8,37,5,4,9,6,9,5,1,[3.4973120999056846],[3.4973229999886826],4,5,37,5,262.2244935,,,,,,,,,262.2090337,262.2244935,262.7073949,262.7074588,262.7241694,264.1398378,9,6,264.1403697,264.1561855,265.3542188,265.3542188,265.3713303,265.4541802,268.9519484,9,5,1,[3.4973120999056846],[3.4973229999886826],262.7241694,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
7,5,5,10,38,6,4,2,2,1,2,1,[3.080736899981275],[3.080746000050567],4,6,38,6,268.9681423,,,,,,,,,268.95226,268.9681423,269.4512124,269.451276,269.467418,270.8831782,2,2,270.8837093,270.8995301,272.0975357,272.0975357,272.1150388,272.1974105,275.2785484,1,2,1,[3.080736899981275],[3.080746000050567],269.467418,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
8,8,5,13,39,7,4,6,6,6,5,1,[2.9310454999795184],[2.931053499924019],4,7,39,7,275.2951161,,,,,,,,,275.278835,275.2951161,275.7942987,275.7943921,275.8108725,277.2103369,6,6,277.2108784,277.2258583,278.4245533,278.4245533,278.4245533,278.5244555,281.4558752,6,5,1,[2.9310454999795184],[2.931053499924019],,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
1,2,4,6,40,0,5,6,9,6,9,1,[3.3141972000012174],[3.314206200069748],5,0,40,0,281.4722156,,,,,,,,,281.4561353,281.4722156,281.9556147,281.9556788,281.9719973,283.386589,6,9,283.3871166,283.403778,284.601709,284.601709,284.6188206,284.6849789,287.9995999,6,9,1,[3.3141972000012174],[3.314206200069748],281.9719973,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
2,3,4,7,41,1,5,4,8,4,3,1,[3.1310250000096858],[3.1310325999511406],5,1,41,1,288.0149713,,,,,,,,,287.9998852,288.0149713,288.4983669,288.498432,288.514434,289.9308567,4,8,289.9313865,289.9466256,291.1452016,291.1452016,291.1452016,291.2451508,294.3765611,4,3,1,[3.1310250000096858],[3.1310325999511406],288.514434,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
3,5,4,9,42,2,5,9,2,9,7,1,[3.280865199980326],[3.2808733000420034],5,2,42,2,294.3927182,,,,,,,,,294.3768484,294.3927182,294.8758916,294.8759556,294.8920559,296.307217,9,2,296.3077585,296.3241185,297.5223164,297.5223164,297.5395694,297.6221786,300.9034258,9,7,1,[3.280865199980326],[3.2808733000420034],294.8920559,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
4,8,4,12,43,3,5,8,1,8,1,1,[4.23008160002064],[4.230089899967425],5,3,43,3,300.9190877,,,,,,,,,300.9037143,300.9190877,301.4027166,301.4027803,301.4188897,302.8345632,8,1,302.835097,302.8509452,304.0492174,304.0492174,304.0665316,304.1489785,308.3794504,8,1,1,[4.23008160002064],[4.230089899967425],301.4188897,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
5,2,5,7,44,4,5,2,6,2,6,1,[3.0153995000291616],[3.0154086999827996],5,4,44,4,308.3949912,,,,,,,,,308.3797285,308.3949912,308.8783231,308.878387,308.8945647,310.3104286,2,6,310.3109581,310.326622,311.5250839,311.5250839,311.5250839,311.6249041,314.6407314,2,6,1,[3.0153995000291616],[3.0154086999827996],308.8945647,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
6,3,5,8,45,5,5,4,8,4,8,1,[4.097179800039157],[4.097188099985942],5,5,45,5,314.6559419,,,,,,,,,314.641017,314.6559419,315.1389906,315.1390553,315.1549195,316.5709981,4,8,316.5715365,316.5876086,317.8014174,317.8014174,317.8188773,317.9011036,321.998681,4,8,1,[4.097179800039157],[4.097188099985942],315.1549195,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
7,5,5,10,46,6,5,5,2,5,2,1,[3.6970655999612063],[3.6970741000259295],5,6,46,6,322.0153092,,,,,,,,,321.9989516,322.0153092,322.498678,322.4987425,322.5148702,323.9305786,5,2,323.9311121,323.9468652,325.1607695,325.1607695,325.1781345,325.2447663,328.9422512,5,2,1,[3.6970655999612063],[3.6970741000259295],322.5148702,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
8,8,5,13,47,7,5,2,5,2,5,1,[3.497335899970494],[3.4973442999180406],5,7,47,7,328.9579053,,,,,,,,,328.9425315,328.9579053,329.4418329,329.4418991,329.4580577,330.8737139,2,5,330.8742436,330.8900454,332.0879799,332.0879799,332.1045856,332.1878809,335.6856204,2,5,1,[3.497335899970494],[3.4973442999180406],329.4580577,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
1,2,4,6,48,0,6,1,3,1,3,1,[2.914560499950312],[2.9145701999077573],6,0,48,0,335.7014368,,,,,,,,,335.6859035,335.7014368,336.1842348,336.184299,336.2013041,337.6164253,1,3,337.6173192,337.6325636,338.8312647,338.8312647,338.8312647,338.9311401,341.846147,1,3,1,[2.914560499950312],[2.9145701999077573],336.2013041,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
2,3,4,7,49,1,6,2,3,2,3,1,[3.581228299997747],[3.581236300058663],6,1,49,1,341.8622636,,,,,,,,,341.8464327,341.8622636,342.3453136,342.3453807,342.3614298,343.7766735,2,3,343.7772008,343.793566,344.9919345,344.9919345,345.0084073,345.091724,348.6733701,2,3,1,[3.581228299997747],[3.581236300058663],342.3614298,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
3,5,4,9,50,2,6,6,9,6,9,1,[3.1977267999900505],[3.1977357999421656],6,2,50,2,348.688666,,,,,,,,,348.6736447,348.688666,349.1721442,349.1722063,349.188371,350.6040867,6,9,350.6046137,350.6203291,351.8184649,351.8184649,351.8355161,351.9187468,355.116932,6,9,1,[3.1977267999900505],[3.1977357999421656],349.188371,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
4,8,4,12,51,3,6,1,5,1,5,1,[3.4137142000254244],[3.413722899975255],6,3,51,3,355.1324044,,,,,,,,,355.1172267,355.1324044,355.6155228,355.6155893,355.6316422,357.0468545,1,5,357.0473798,357.0638384,358.2616829,358.2616829,358.2785373,358.3617894,361.775915,1,5,1,[3.4137142000254244],[3.413722899975255],355.6316422,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
5,2,5,7,52,4,6,1,3,1,3,1,[3.581353300018236],[3.581361599965021],6,4,52,4,361.7921018,,,,,,,,,361.7761814,361.7921018,362.2751787,362.2752419,362.2913059,363.7068683,1,3,363.7074031,363.7240489,364.9220755,364.9220755,364.9394076,365.0219525,368.6037249,1,3,1,[3.581353300018236],[3.581361599965021],362.2913059,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
6,3,5,8,53,5,6,3,2,3,5,1,[3.5653082000790164],[3.565317500033416],6,5,53,5,368.6190975,,,,,,,,,368.6039806,368.6190975,369.1024901,369.1025542,369.1186628,370.53342,3,2,370.5339458,370.5503668,371.731969,371.731969,371.7652231,371.8318258,375.3976223,3,5,1,[3.5653082000790164],[3.565317500033416],369.1186628,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
