trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction.started,key_resp1.started,instructions.stopped,key_resp1.keys,key_resp1.rt,key_resp1.duration,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,thank_you.started,text_2.started,key_resp.started,thank_you.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,0.0168854,0.0347285,0.0347285,1.5976992,space,1.4331401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
1,2,4,6,0,0,0,2,6,2,6,1,[7.141901699942537],[7.141910400008783],0,0,0,0,1.6329848,,,,,,,,,1.6209731,1.6329848,2.0987687,2.0988585,2.1152399,3.5148999,2,6,3.515851,3.5314921,4.7480933,4.7480933,4.7633531,4.8313279,11.9735618,2,6,1,[7.141901699942537],[7.141910400008783],,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
2,3,4,7,1,1,0,2,5,5,8,1,[4.729174499982037],[4.72918300004676],0,1,1,1,11.9895049,,,,,,,,,11.9738684,11.9895049,12.4724384,12.4725079,12.4891699,13.9038395,2,5,13.9043813,13.9208246,15.1183986,15.1183986,15.1357152,15.2194403,19.948914,5,8,1,[4.729174499982037],[4.72918300004676],12.4891699,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
3,5,4,9,2,2,0,6,7,6,7,1,[4.945817700005136],[4.94582620006986],0,2,2,2,19.9649485,,,,,,,,,19.9492032,19.9649485,20.4479994,20.4480735,20.4637795,21.8793463,6,7,21.8798907,21.8963584,23.0780214,23.0780214,23.1112752,23.1945371,28.1406829,6,7,1,[4.945817700005136],[4.94582620006986],20.4637795,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
4,8,4,12,3,3,0,6,7,6,7,1,[2.7314157999353483],[2.731424699886702],0,3,3,3,28.1569483,,,,,,,,,28.1409741,28.1569483,28.6398768,28.6399419,28.6565818,30.07182,6,7,30.0723657,30.0882605,31.2864153,31.2864153,31.2864153,31.3864652,34.1182569,6,7,1,[2.7314157999353483],[2.731424699886702],28.6565818,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
5,2,5,7,4,4,0,4,1,4,1,1,[4.147133900085464],[4.147142600035295],0,4,4,4,34.1344704,,,,,,,,,34.1185452,34.1344704,34.6170895,34.6171556,34.6337903,36.0494401,4,1,36.0499943,36.0658643,37.2638514,37.2638514,37.2813709,37.3637588,41.5112097,4,1,1,[4.147133900085464],[4.147142600035295],34.6337903,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
6,3,5,8,5,5,0,2,5,2,5,1,[3.347378599923104],[3.3473862999817356],0,5,5,5,41.5270938,,,,,,,,,41.511491,41.5270938,42.0097283,42.009792,42.0263853,43.4420709,2,5,43.4426084,43.4584574,44.6565686,44.6565686,44.6740009,44.7564059,48.1040688,2,5,1,[3.347378599923104],[3.3473862999817356],42.0263853,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
7,5,5,10,6,6,0,7,6,7,6,1,[3.514407999929972],[3.514417600003071],0,6,6,6,48.1204511,,,,,,,,,48.1043248,48.1204511,48.6037307,48.6037987,48.6200907,50.0354983,7,6,50.0360321,50.0519525,51.2499468,51.2499468,51.2673705,51.3498322,54.8645861,7,6,1,[3.514407999929972],[3.514417600003071],48.6200907,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
8,8,5,13,7,7,0,4,8,4,7,1,[2.8983705000719056],[2.898379600024782],0,7,7,7,54.8804273,,,,,,,,,54.8648845,54.8804273,55.363726,55.3637905,55.379077,56.7957367,4,8,56.7962829,56.8113445,58.0099187,58.0099187,58.0099187,58.1098085,61.0085278,4,7,1,[2.8983705000719056],[2.898379600024782],55.379077,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
1,2,4,6,8,0,1,3,3,3,5,1,[2.981713999994099],[2.981723100063391],1,0,8,0,61.0237764,,,,,,,,,61.0088152,61.0237764,61.5067834,61.5068485,61.5235918,62.9385558,3,3,62.9390936,62.9559163,64.153858,64.153858,64.1711707,64.270309,67.2524083,3,5,1,[2.981713999994099],[2.981723100063391],61.5235918,,,,,,,,p4,1,2025-11-19_20h23.55.959,untitled,,2025.1.1,60.02364932,2025-11-19 20h24.04.718894 +0530
