trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
4,8,4,12,11,3,1,5,5,2,5,1,[4.396747599937953],[4.3967648999532685],1,3,11,3,80.1618162,,80.1476412,80.1618162,80.6457433,80.6458607,80.6621712,82.078248,5,5,82.0792103,82.0944553,82.9083148,82.9083148,82.9413247,83.0245802,87.4219601,2,5,1,[4.396747599937953],[4.3967648999532685],80.6621712,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
5,2,5,7,12,4,1,7,2,7,8,1,[4.6460676999995485],[4.646083400002681],1,4,12,4,87.4386416,,87.4224602,87.4386416,87.921887,87.9219998,87.9386259,89.3543323,7,2,89.3552851,89.3704869,90.18444,90.18444,90.18444,90.284397,94.9311153,7,8,1,[4.6460676999995485],[4.646083400002681],87.9386259,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
6,3,5,8,13,5,1,7,2,7,8,1,[4.513264899956994],[4.513281299965456],1,5,13,5,94.9479417,,94.9316148,94.9479417,95.4310409,95.4311601,95.4478817,96.862764,7,2,96.8637105,96.8797365,97.693506,97.693506,97.7273249,97.7932368,102.3071264,7,8,1,[4.513264899956994],[4.513281299965456],95.4478817,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
7,5,5,10,14,6,1,2,5,5,9,1,[3.764719699975103],[3.7647362999850884],1,6,14,6,102.3238616,,102.3076404,102.3238616,102.807288,102.8074105,102.8236544,104.2394824,2,5,104.2404981,104.2556461,105.0705388,105.0705388,105.0705388,105.1696808,108.935043,5,9,1,[3.764719699975103],[3.7647362999850884],102.8236544,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
8,8,5,13,15,7,1,1,6,1,6,1,[4.496893499977887],[4.496909899986349],1,7,15,7,108.9503253,,108.9355343,108.9503253,109.433955,109.4340761,109.4499895,110.8653853,1,6,110.8663317,110.8826157,111.7128769,111.7128769,111.7464782,111.8300523,116.3276014,1,6,1,[4.496893499977887],[4.496909899986349],109.4499895,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
1,2,4,6,16,0,2,5,7,5,7,1,[3.914787400048226],[3.914804399944842],2,0,16,0,116.3427567,,116.3281143,116.3427567,116.8265402,116.8266559,116.842664,118.2584871,5,7,118.2594308,118.2745842,119.088707,119.088707,119.088707,119.2053888,123.1208276,5,7,1,[3.914787400048226],[3.914804399944842],116.842664,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
2,3,4,7,17,1,2,4,1,4,1,1,[4.980745599954389],[4.9807626999681816],2,1,17,1,123.1369271,,123.1213399,123.1369271,123.6203105,123.6204292,123.63557,125.0523098,4,1,125.0532591,125.0695617,125.8823806,125.8823806,125.9153337,125.9821581,130.963557,4,1,1,[4.980745599954389],[4.9807626999681816],123.63557,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
3,5,4,9,18,2,2,8,8,8,9,1,[3.981070600100793],[3.981087200110778],2,2,18,2,130.9784469,,130.9640454,130.9784469,131.4620175,131.4621299,131.4783356,132.8940267,8,8,132.8949571,132.9102939,133.7076736,133.7076736,133.7412569,133.8411894,137.8229202,8,9,1,[3.981070600100793],[3.981087200110778],131.4783356,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
4,8,4,12,19,3,2,1,1,1,1,1,[4.029740300029516],[4.029755900031887],2,3,19,3,137.8385964,,137.8234122,137.8385964,138.3225188,138.3226372,138.3381278,139.7542147,1,1,139.7551677,139.7698952,140.5840328,140.5840328,140.5840328,140.7013205,144.7317217,1,1,1,[4.029740300029516],[4.029755900031887],138.3381278,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
5,2,5,7,20,4,2,7,2,7,8,1,[4.511965500074439],[4.511981900082901],2,4,20,4,144.7481256,,144.7322285,144.7481256,145.2321958,145.2323134,145.2480904,146.6635709,7,2,146.6645157,146.6799394,147.4938997,147.4938997,147.5276023,147.612767,152.1254108,7,8,1,[4.511965500074439],[4.511981900082901],145.2480904,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
6,3,5,8,21,5,2,2,4,8,9,1,[6.511723599978723],[6.511740599991754],2,5,21,5,152.140956,,152.1258989,152.140956,152.6246612,152.6247825,152.6406241,154.0566811,2,4,154.0576179,154.0729971,154.8870657,154.8870657,154.8870657,154.9869269,161.4993374,8,9,1,[6.511723599978723],[6.511740599991754],152.6406241,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
7,5,5,10,22,6,2,6,1,6,1,1,[4.913567899959162],[4.913578399922699],2,6,22,6,161.5151531,,161.4998326,161.5151531,161.9981774,161.9982919,162.0141724,163.4303508,6,1,163.431296,163.4463367,164.2604776,164.2604776,164.2604776,164.3605584,169.2746383,6,1,1,[4.913567899959162],[4.913578399922699],162.0141724,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
8,8,5,13,23,7,2,8,6,8,6,1,[4.629670300055295],[4.629686400061473],2,7,23,7,169.2906746,,169.2749935,169.2906746,169.7741024,169.7742157,169.7902973,171.2060322,8,6,171.2069733,171.2220919,172.0361736,172.0361736,172.0361736,172.1529785,176.7833247,8,6,1,[4.629670300055295],[4.629686400061473],169.7902973,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
1,2,4,6,24,0,3,5,8,8,9,1,[3.7981775000225753],[3.7981884999899194],3,0,24,0,176.7996816,,176.7838294,176.7996816,177.2835277,177.2836501,177.2998095,178.7152123,5,8,178.7161741,178.7315186,179.5454855,179.5454855,179.5454855,179.6452421,183.4439359,8,9,1,[3.7981775000225753],[3.7981884999899194],177.2998095,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
