reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,l,3.0061084000044502,None,0,0,0,1,0.3996088999847416,,0.38569120000465773,0.3996088999847416,1.0167719000019133,1.0167719000019133,1.4006751999841072,4.242364700010512,l,3.0061084000044502,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
49,60,89,1,1,0,t,2.9088220999983605,None,0,1,1,4,4.263090899999952,,4.255671799997799,4.263090899999952,5.247548599989386,5.247548599989386,5.2638955999864265,8.16173439999693,t,2.9088220999983605,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
67,75,119,2,2,0,t,2.762220400007209,None,0,2,2,5,8.192788799991831,,8.172304799983976,8.192788799991831,9.176216799998656,9.176216799998656,9.192942399997264,11.942846599995391,t,2.762220400007209,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
40,55,62,3,3,0,t,2.486945500015281,None,0,3,3,3,11.972386400011601,,11.952784699999029,11.972386400011601,12.956368199986173,12.956368199986173,12.973474800004624,15.454219300008845,t,2.486945500015281,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
78,80,162,4,4,0,t,1.7915911999880336,None,0,4,4,6,15.47008930001175,,15.4609123999835,15.47008930001175,16.469949499994982,16.469949499994982,16.469949499994982,18.267887099995278,t,1.7915911999880336,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
11,30,7,5,5,0,l,2.130221999977948,None,0,5,5,0,18.284166900004493,,18.274672500003362,18.284166900004493,19.283479100005934,19.283479100005934,19.299925700004678,21.415448199986713,l,2.130221999977948,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
27,50,21,6,6,0,l,4.110237599990796,None,0,6,6,2,21.43086829999811,,21.42199719999917,21.43086829999811,22.430419699987397,22.430419699987397,22.430419699987397,26.545447299984517,l,4.110237599990796,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
15,35,13,7,0,1,l,1.5198719999752939,None,1,0,7,1,26.574343099986436,,26.551982400007546,26.574343099986436,27.55872639999143,27.55872639999143,27.575286600011168,29.090862799988827,l,1.5198719999752939,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
78,80,162,8,1,1,t,1.3875254000013229,None,1,1,8,6,29.10713879999821,,29.097382200008724,29.10713879999821,30.105897600005846,30.105897600005846,30.12246449998929,31.505393500003265,t,1.3875254000013229,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
40,55,62,9,2,1,l,1.5416159000014886,None,1,2,9,3,31.520927100005792,,31.512431499984814,31.520927100005792,32.5199253000028,32.5199253000028,32.5199253000028,34.069066099997144,l,1.5416159000014886,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
27,50,21,10,3,1,l,1.3645661000045948,None,1,3,10,2,34.085490800003754,,34.07541739998851,34.085490800003754,35.08421500000986,35.08421500000986,35.08421500000986,36.451334699988365,l,1.3645661000045948,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
11,30,7,11,4,1,l,1.2233154000132345,None,1,4,11,0,36.46620649998658,,36.457738800003426,36.46620649998658,37.467136099992786,37.467136099992786,37.467136099992786,38.69783200000529,l,1.2233154000132345,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
49,60,89,12,5,1,t,1.492585899977712,None,1,5,12,4,38.714425399986794,,38.70428159998846,38.714425399986794,39.71305819999543,39.71305819999543,39.7299645000021,41.211969700001646,t,1.492585899977712,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
67,75,119,13,6,1,t,2.065763999999035,None,1,6,13,5,41.22795329999644,,41.219868199987104,41.22795329999644,42.22740010000416,42.22740010000416,42.22740010000416,44.30941690001055,t,2.065763999999035,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
15,35,13,14,0,2,t,2.018450400006259,None,2,0,14,1,44.32528489999822,,44.31579649998457,44.32528489999822,45.32435599999735,45.32435599999735,45.340659599984065,47.35605149998446,t,2.018450400006259,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
67,75,119,15,1,2,l,1.5501789999834727,None,2,1,15,5,47.37246640000376,,47.363199499988696,47.37246640000376,48.3714318999846,48.3714318999846,48.387635399994906,49.93719019999844,l,1.5501789999834727,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
78,80,162,16,2,2,t,1.9967246000014711,None,2,2,16,6,49.9528893000097,,49.9437648000021,49.9528893000097,50.95217639999464,50.95217639999464,50.95217639999464,52.95231839999906,t,1.9967246000014711,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
49,60,89,17,3,2,t,1.9922985000011977,None,2,3,17,4,52.9820386999927,,52.96011600000202,52.9820386999927,53.96552930001053,53.96552930001053,53.98248780000722,55.96377410000423,t,1.9922985000011977,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
40,55,62,18,4,2,t,1.3729435999994166,None,2,4,18,3,55.98009609998553,,55.97018139998545,55.98009609998553,56.97948849998647,56.97948849998647,56.97948849998647,58.36213890000363,t,1.3729435999994166,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
11,30,7,19,5,2,l,0.8459823000011966,None,2,5,19,0,58.510985200002324,,58.48725259999628,58.510985200002324,59.37680229998659,59.37680229998659,59.51005969999824,60.22807660000399,l,0.8459823000011966,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
27,50,21,20,6,2,l,2.104128800012404,None,2,6,20,2,60.24260579998372,,60.234648199984804,60.24260579998372,61.24181599999429,61.24181599999429,61.24181599999429,63.35686020000139,l,2.104128800012404,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
49,60,89,21,0,3,l,1.2780966999998782,None,3,0,21,4,63.37277349998476,,63.36339519999456,63.37277349998476,64.37193200000911,64.37193200000911,64.37193200000911,65.65580889998819,l,1.2780966999998782,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
67,75,119,22,1,3,t,1.9326845000032336,None,3,1,22,5,65.670550299983,,65.66241530000116,65.670550299983,66.66960510000354,66.66960510000354,66.66960510000354,68.61877370000002,t,1.9326845000032336,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
11,30,7,23,2,3,l,1.3032114000234287,None,3,2,23,0,68.6342491999967,,68.62534500000766,68.6342491999967,69.63385139999446,69.63385139999446,69.63385139999446,70.95041039999342,l,1.3032114000234287,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
15,35,13,24,3,3,t,1.4227333000162616,None,3,3,24,1,70.9652991000039,,70.95681329999934,70.9652991000039,71.96479959998396,71.96479959998396,71.96479959998396,73.39727409998886,t,1.4227333000162616,None,p2,001,2025-11-02_19h18.57.375,delay discounting task,,2025.1.1,60.04613945537154,2025-11-02 19h19.07.076360 +0530,
