delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon.stopped,polygon_2.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,responses.started,text.started,textbox.started,button.started,responses.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.4,1000,exp,10,10,0,space,2.196717,None,100,1,[8.379431999986991],[8.379448299994692],0,10,10,4,76.926535,,76.9114004,76.926535,77.9263139,77.9263139,77.9263139,80.1245194,space,2.196717,None,80.1256003,80.53964227,80.8710271,80.8379835,80.8386735,80.8710271,80.8710271,80.8710271,89.2510631,100,1,[8.379431999986991],[8.379448299994692],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.1,1000,exp,11,11,0,space,1.6436664,None,400,1,[3.8802175000309944],[3.8802338000386953],0,11,11,3,89.2647646,,89.2515478,89.2647646,90.2633972,90.2633972,90.2633972,91.9125471,space,1.6436664,None,91.9136132,92.01230487,92.3433515,92.308056,92.30879,92.3433515,92.3433515,92.3433515,96.2241622,400,1,[3.8802175000309944],[3.8802338000386953],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.1,1000,exp,12,0,1,space,1.4312677,None,100,1,[2.799041699967347],[2.799057099968195],1,0,12,9,96.2405367,,96.2246827,96.2405367,97.2403186,97.2403186,97.2403186,98.6730551,space,1.4312677,None,98.6741281,98.78842917,99.1200359,99.0918243,99.0925286,99.1200359,99.1200359,99.1200359,101.9196665,100,1,[2.799041699967347],[2.799057099968195],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.7,1000,exp,13,1,1,space,0.4334788,None,100,1,[3.565537399961613],[3.565547800040804],1,1,13,8,101.9352003,,101.9201485,101.9352003,102.9339284,102.9339284,102.9339284,103.3844266,space,0.4334788,None,103.3855172,104.0998733,104.4318739,104.4014743,104.4021772,104.4318739,104.4318739,104.4318739,107.9978609,100,1,[3.565537399961613],[3.565547800040804],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.4,1000,exp,14,2,1,space,0.6056345,None,400,1,[3.114309999975376],[3.1143259999807924],1,2,14,4,108.0120789,,107.9982056,108.0120789,109.011652,109.011652,109.011652,109.6286408,space,0.6056345,None,109.6297026,110.0442035,110.376027,110.3418307,110.3425113,110.376027,110.376027,110.376027,113.4909335,100,1,[3.114309999975376],[3.1143259999807924],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.1,1000,exp,15,3,1,space,1.3436236,None,100,1,[2.43260200007353],[2.4326182000804693],1,3,15,6,113.5071326,,113.491413,113.5071326,114.5231073,114.5061416,114.5061416,115.8555125,space,1.3436236,None,115.8565983,115.9549967,116.2863486,116.2552825,116.2559635,116.2863486,116.2863486,116.2863486,118.7195571,100,1,[2.43260200007353],[2.4326182000804693],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.1,1000,exp,16,4,1,space,0.6804983,None,400,1,[6.3681106000440195],[6.368126300047152],1,4,16,3,118.735346,,118.7200288,118.735346,119.7342625,119.7342625,119.7342625,120.4184848,space,0.6804983,None,120.4195948,120.5336633,120.8656713,120.8295602,120.8303347,120.8656713,120.8656713,120.8656713,127.23538,100,1,[6.3681106000440195],[6.368126300047152],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.7,1000,exp,17,5,1,space,0.5178798,None,100,1,[2.965078900102526],[2.9650949001079425],1,5,17,5,127.2489526,,127.2357638,127.2489526,128.2589966,128.2426548,128.2426548,128.776367,space,0.5178798,None,128.7774371,129.4913976,129.8231496,129.7883034,129.7889782,129.8231496,129.8231496,129.8231496,132.7888149,400,1,[2.965078900102526],[2.9650949001079425],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.7,1000,exp,18,6,1,space,0.8880305,None,400,1,[5.596287899999879],[5.596304500009865],1,6,18,11,132.8047481,,132.7892812,132.8047481,133.80385,133.80385,133.80385,134.7032197,space,0.8880305,None,134.7043366,135.4188254,135.750781,135.7192829,135.7199669,135.750781,135.750781,135.750781,141.3476673,700,1,[5.596287899999879],[5.596304500009865],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.4,400,unexp,19,7,1,space,0.66026,None,100,1,[3.7473806999623775],[3.7473967999685556],1,7,19,1,141.3632347,,141.3481409,141.3632347,142.3787752,142.3619684,142.3619684,143.0287768,space,0.66026,None,143.0298103,143.4278741,143.7596617,143.7307014,143.7313927,143.7596617,143.7596617,143.7596617,147.5076335,400,1,[3.7473806999623775],[3.7473967999685556],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
