study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
T-shirt,0,0,0,1.06,3.30821490008384,,,,,,,,,,,,0,0,0,7,,,,,0.06126939970999956,,0.034312000032514334,0.06126939970999956,0.06126939970999956,3.3743997998535633,1.06,3.30821490008384,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
poster,1,1,0,1.06,0.12576780002564192,,,,,,,,,,,,0,1,1,14,,,,,3.407084099948406,,3.384396200068295,3.407084099948406,3.407084099948406,3.540836399886757,1.06,0.12576780002564192,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
board ,2,2,0,1.06,0.15850970009341836,,,,,,,,,,,,0,2,2,4,,,,,3.5726288999430835,,3.550548099912703,3.5726288999430835,3.5726288999430835,3.7404654999263585,1.06,0.15850970009341836,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
police,3,3,0,1.06,0.13082489976659417,,,,,,,,,,,,0,3,3,12,,,,,3.7723823999986053,,3.747067399788648,3.7723823999986053,3.7723823999986053,3.9067688998766243,1.06,0.13082489976659417,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
chart,4,4,0,1.06,0.19569089962169528,,,,,,,,,,,,0,4,4,6,,,,,3.9385215998627245,,3.9131879000924528,3.9385215998627245,3.9385215998627245,4.1406446998007596,1.06,0.19569089962169528,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
laptop,5,5,0,1,4.773284299764782,,,,,,,,,,,,0,5,5,5,,,,,4.172375400085002,,4.147137099877,4.172375400085002,4.172375400085002,8.952226599678397,1,4.773284299764782,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
book,6,6,0,1,0.11181689985096455,,,,,,,,,,,,0,6,6,0,,,,,8.983780900016427,,8.958098699804395,8.983780900016427,8.983780900016427,9.086343899834901,1,0.11181689985096455,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
cruise,7,7,0,1,0.13019059970974922,,,,,,,,,,,,0,7,7,11,,,,,9.11710189981386,,9.090917699970305,9.11710189981386,9.11710189981386,9.251785699743778,1,0.13019059970974922,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
phone,8,8,0,1,0.16062310012057424,,,,,,,,,,,,0,8,8,2,,,,,9.283663999754936,,9.260878900066018,9.283663999754936,9.283663999754936,9.45177169982344,1,0.16062310012057424,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
marble,9,9,0,1,0.12818440003320575,,,,,,,,,,,,0,9,9,3,,,,,9.483143299818039,,9.457949599716812,9.483143299818039,9.483143299818039,9.618062799796462,1,0.12818440003320575,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
pastry,10,10,0,1,0.12433840008452535,,,,,,,,,,,,0,10,10,9,,,,,9.649461699649692,,9.62724189972505,9.649461699649692,9.649461699649692,9.76884560007602,1,0.12433840008452535,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
case,11,11,0,1,0.13116219965741038,,,,,,,,,,,,0,11,11,10,,,,,9.800154199823737,,9.772592700086534,9.800154199823737,9.800154199823737,9.934119299985468,1,0.13116219965741038,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
keys,12,12,0,1,0.14851889992132783,,,,,,,,,,,,0,12,12,13,,,,,9.966314000077546,,9.9383229999803,9.966314000077546,9.966314000077546,10.117709799669683,1,0.14851889992132783,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
cushion,13,13,0,1,0.13048280030488968,,,,,,,,,,,,0,13,13,1,,,,,10.14909219974652,,10.121842300053686,10.14909219974652,10.14909219974652,10.284135200083256,1,0.13048280030488968,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
mouse,14,14,0,1,0.12968780007213354,,,,,,,,,,,,0,14,14,8,,,,,10.315515999682248,,10.290196899790317,10.315515999682248,10.315515999682248,10.451061700005084,1,0.12968780007213354,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
police,15,0,1,1,0.16092090029269457,,,,,,,,,,,,1,0,15,12,,,,,10.482456899713725,,10.457211500033736,10.482456899713725,10.482456899713725,10.650086099747568,1,0.16092090029269457,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
poster,16,1,1,1,0.12897969968616962,,,,,,,,,,,,1,1,16,14,,,,,10.68190379999578,,10.656337699852884,10.68190379999578,10.68190379999578,10.817660099826753,1,0.12897969968616962,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
pastry,17,2,1,1,0.12701330007985234,,,,,,,,,,,,1,2,17,9,,,,,10.848458799999207,,10.824226699769497,10.848458799999207,10.848458799999207,10.983602799940854,1,0.12701330007985234,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
phone,18,3,1,1,0.12833580002188683,,,,,,,,,,,,1,3,18,2,,,,,11.014940099790692,,10.990267899818718,11.014940099790692,11.014940099790692,11.150102699641138,1,0.12833580002188683,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
mouse,19,4,1,1,0.16256099985912442,,,,,,,,,,,,1,4,19,8,,,,,11.18136869976297,,11.156160399783403,11.18136869976297,11.18136869976297,11.349803799763322,1,0.16256099985912442,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
chart,20,5,1,1,0.1614160998724401,,,,,,,,,,,,1,5,20,6,,,,,11.382275499869138,,11.356014699675143,11.382275499869138,11.382275499869138,11.549971799831837,1,0.1614160998724401,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
T-shirt,21,6,1,1,0.12756199995055795,,,,,,,,,,,,1,6,21,7,,,,,11.5814119996503,,11.556303599849343,11.5814119996503,11.5814119996503,11.715717799961567,1,0.12756199995055795,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
keys,22,7,1,1,0.129643099848181,,,,,,,,,,,,1,7,22,13,,,,,11.747568499762565,,11.721891100052744,11.747568499762565,11.747568499762565,11.882663999684155,1,0.129643099848181,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
case,23,8,1,1,0.16183950006961823,,,,,,,,,,,,1,8,23,10,,,,,11.914188500028104,,11.888235500082374,11.914188500028104,11.914188500028104,12.082650399766862,1,0.16183950006961823,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
marble,24,9,1,1,0.12855800008401275,,,,,,,,,,,,1,9,24,3,,,,,12.11429339973256,,12.088829699903727,12.11429339973256,12.11429339973256,12.248575899749994,1,0.12855800008401275,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
cushion,25,10,1,1,0.12937120022252202,,,,,,,,,,,,1,10,25,1,,,,,12.280736499931663,,12.25478639965877,12.280736499931663,12.280736499931663,12.415622999891639,1,0.12937120022252202,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
cruise,26,11,1,1,0.16158910002559423,,,,,,,,,,,,1,11,26,11,,,,,12.447172099724412,,12.421803100034595,12.447172099724412,12.447172099724412,12.61535259988159,1,0.16158910002559423,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
board ,27,12,1,1,0.12697160011157393,,,,,,,,,,,,1,12,27,4,,,,,12.646681999787688,,12.62243209965527,12.646681999787688,12.646681999787688,12.781567399855703,1,0.12697160011157393,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
laptop,28,13,1,1,0.14581340039148927,,,,,,,,,,,,1,13,28,5,,,,,12.813040199689567,,12.787826600018889,12.813040199689567,12.813040199689567,12.96492449985817,1,0.14581340039148927,,,,,,,,,,,,,,,p4,001,2025-10-15_20h26.42.979,word_priming,,2025.1.1,60.223477326749595,2025-10-15 20h26.50.209440 +0530,
