trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,thank_you.started,text_2.started,key_resp.started,thank_you.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
2,3,4,7,49,1,6,7,8,7,8,1,[4.0297104000346735],[4.02972019999288],6,1,49,1,352.9343702,,,,,,,,,352.919748,352.9343702,353.4185461,353.4186615,353.4338201,354.8506638,7,8,354.8516378,354.8659229,356.0795668,356.0795668,356.0795668,356.1970392,360.2273689,7,8,1,[4.0297104000346735],[4.02972019999288],353.4338201,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
3,5,4,9,50,2,6,6,8,6,8,1,[3.9464395999675617],[3.946455099969171],6,2,50,2,360.2439187,,,,,,,,,360.2277391,360.2439187,360.7284297,360.7285403,360.7441262,362.1596342,6,8,362.1606,362.1756549,363.3895227,363.3895227,363.3895227,363.4893977,367.4366419,6,8,1,[3.9464395999675617],[3.946455099969171],360.7441262,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
4,8,4,12,51,3,6,9,5,9,5,1,[4.2319446000037715],[4.2319616000168025],6,3,51,3,367.4530267,,,,,,,,,367.4371649,367.4530267,367.9374126,367.9375461,367.95366,369.3691002,9,5,369.3700601,369.3847551,370.5990216,370.5990216,370.6318781,370.7151213,374.9478989,9,5,1,[4.2319446000037715],[4.2319616000168025],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
5,2,5,7,52,4,6,8,3,8,3,1,[4.047244699904695],[4.047260699910112],6,4,52,4,374.9626071,,,,,,,,,374.9483935,374.9626071,375.4466863,375.4468041,375.4633347,376.8789193,8,3,376.8798939,376.8944476,378.1078528,378.1078528,378.1078528,378.2075917,382.2556673,8,3,1,[4.047244699904695],[4.047260699910112],375.4633347,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
6,3,5,8,53,5,6,5,7,5,7,1,[4.4463427000446245],[4.446358000044711],6,5,53,5,382.2723269,,,,,,,,,382.2561809,382.2723269,382.7563037,382.7564267,382.7713899,384.1873203,5,7,384.1882565,384.2039596,385.4176405,385.4176405,385.45104,385.5175284,389.9647068,5,7,1,[4.4463427000446245],[4.446358000044711],382.7713899,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
7,5,5,10,54,6,6,7,9,7,9,1,[3.447337600053288],[3.447348600020632],6,6,54,6,389.9813951,,,,,,,,,389.965221,389.9813951,390.4650022,390.4651244,390.4805164,391.8972307,7,9,391.8981844,391.9124632,393.1262265,393.1262265,393.1262265,393.2433828,396.6913493,7,9,1,[3.447337600053288],[3.447348600020632],390.4805164,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
8,8,5,13,55,7,6,7,2,7,2,1,[3.697611599927768],[3.6976221000077203],6,7,55,7,396.7081798,,,,,,,,,396.6917193,396.7081798,397.1915959,397.1917081,397.2070629,398.6238823,7,2,398.6248333,398.6399286,399.8529846,399.8529846,399.8865732,399.9527579,403.6509972,7,2,1,[3.697611599927768],[3.6976221000077203],397.2070629,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,56,0,7,4,6,6,9,1,[4.264896699925885],[4.26491329993587],7,0,56,0,403.6687626,,,,,,,,,403.6513771,403.6687626,404.1673963,404.1675896,404.1838828,405.5833966,4,6,405.5843739,405.5995944,406.8299193,406.8299193,406.8630082,406.9292198,411.1949761,6,9,1,[4.264896699925885],[4.26491329993587],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
2,3,4,7,57,1,7,5,4,5,4,1,[2.9482820000266656],[2.948298000032082],7,1,57,1,411.2095382,,,,,,,,,411.1954831,411.2095382,411.6944587,411.6945793,411.7095462,413.1256836,5,4,413.126626,413.1416429,414.3385409,414.3385409,414.3722263,414.4722134,417.4213511,5,4,1,[2.9482820000266656],[2.948298000032082],411.7095462,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
3,5,4,9,58,2,7,3,1,3,1,1,[3.8639413999626413],[3.8639606999931857],7,2,58,2,417.4373533,,,,,,,,,417.4218654,417.4373533,417.9213957,417.9215095,417.9364677,419.3531766,3,1,419.3541172,419.3688334,420.5826817,420.5826817,420.6161376,420.6822987,424.547096,3,1,1,[3.8639413999626413],[3.8639606999931857],417.9364677,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
4,8,4,12,59,3,7,8,9,8,9,1,[3.8637687999289483],[3.8637809000210837],7,3,59,3,424.5641954,,,,,,,,,424.5476492,424.5641954,425.0635386,425.0637354,425.0797469,426.4783573,8,9,426.4792881,426.4944072,427.7090087,427.7090087,427.7090087,427.8086899,431.673151,8,9,1,[3.8637687999289483],[3.8637809000210837],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
5,2,5,7,60,4,7,8,5,8,5,1,[3.7992544999578968],[3.7992720999754965],7,4,60,4,431.690294,,,,,,,,,431.6735437,431.690294,432.1738353,432.174032,432.1894294,433.6054746,8,5,433.6064251,433.6210663,434.8350701,434.8350701,434.8687019,434.9349204,438.7350545,8,5,1,[3.7992544999578968],[3.7992720999754965],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
6,3,5,8,61,5,7,4,6,4,6,1,[3.9138372000306845],[3.9138535000383854],7,5,61,5,438.7497969,,,,,,,,,438.7355673,438.7497969,439.2330898,439.2332217,439.2489668,440.6646298,4,6,440.6655753,440.6805956,441.8945146,441.8945146,441.9282478,441.9945169,445.9092792,4,6,1,[3.9138372000306845],[3.9138535000383854],439.2489668,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
7,5,5,10,62,6,7,6,8,6,8,1,[3.6473037999821827],[3.647319699986838],7,6,62,6,445.925859,,,,,,,,,445.9097927,445.925859,446.4094865,446.4096127,446.4253,447.841284,6,8,447.84223,447.8572118,449.0706942,449.0706942,449.0706942,449.1709155,452.8190899,6,8,1,[3.6473037999821827],[3.647319699986838],446.4253,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
8,8,5,13,63,7,7,3,2,3,2,1,[3.9973096000030637],[3.9973261000122875],7,7,63,7,452.8359403,,,,,,,,,452.8196048,452.8359403,453.3193982,453.3195215,453.3353031,454.750859,3,2,454.7518013,454.7671367,455.9805286,455.9805286,455.9805286,456.0810096,460.0792009,3,2,1,[3.9973096000030637],[3.9973261000122875],453.3353031,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,64,0,8,2,3,2,8,1,[3.282109799911268],[3.282126099918969],8,0,64,0,460.0944664,,,,,,,,,460.0797032,460.0944664,460.5787814,460.5789051,460.5945014,462.0101601,2,3,462.0110989,462.0267154,463.2234832,463.2234832,463.2568196,463.3567272,466.6397204,2,8,1,[3.282109799911268],[3.282126099918969],460.5945014,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
2,3,4,7,65,1,8,3,8,3,8,1,[4.164797599893063],[4.164816699922085],8,1,65,1,466.6549885,,,,,,,,,466.6402241,466.6549885,467.1388836,467.1390068,467.1549437,468.5703731,3,8,468.5713139,468.5864019,469.8012882,469.8012882,469.8012882,469.9005007,474.066224,3,8,1,[4.164797599893063],[4.164816699922085],467.1549437,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
3,5,4,9,66,2,8,2,5,2,5,1,[3.6306515999604017],[3.6306680999696255],8,2,66,2,474.0814852,,,,,,,,,474.066732,474.0814852,474.5652783,474.5653927,474.5812906,475.9968297,2,5,475.9977724,476.0126727,477.2265194,477.2265194,477.2598429,477.3263787,480.9579385,2,5,1,[3.6306515999604017],[3.6306680999696255],474.5812906,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
4,8,4,12,67,3,8,2,1,8,1,1,[3.4328278999309987],[3.4328445999417454],8,3,67,3,480.9739975,,,,,,,,,480.9584751,480.9739975,481.4582442,481.458391,481.4738826,482.889808,2,1,482.8907494,482.9059045,484.119335,484.119335,484.1532052,484.2192513,487.6529891,8,1,1,[3.4328278999309987],[3.4328445999417454],481.4738826,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
5,2,5,7,68,4,8,7,1,7,9,1,[3.049234600039199],[3.049251400050707],8,4,68,4,487.6679791,,,,,,,,,487.653516,487.6679791,488.1514364,488.1515666,488.1672438,489.5836234,7,1,489.5845635,489.599939,490.8130338,490.8130338,490.8466199,490.9126779,493.9628112,7,9,1,[3.049234600039199],[3.049251400050707],488.1672438,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
6,3,5,8,69,5,8,9,8,9,8,1,[3.4476080000167713],[3.447617500089109],8,5,69,5,493.9777628,,,,,,,,,493.9633141,493.9777628,494.4616287,494.4617433,494.4777639,495.8935967,9,8,495.894557,495.9094645,497.1229647,497.1229647,497.1229647,497.2229991,500.6713036,9,8,1,[3.4476080000167713],[3.447617500089109],494.4777639,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
7,5,5,10,70,6,8,4,9,4,9,1,[4.07949000003282],[4.07950589992106],8,6,70,6,500.6882058,,,,,,,,,500.6716697,500.6882058,501.1718091,501.1719346,501.1877282,502.604067,4,9,502.604997,502.6193276,503.8331795,503.8331795,503.8331795,503.9335561,508.0139458,4,9,1,[4.07949000003282],[4.07950589992106],501.1877282,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
8,8,5,13,71,7,8,5,7,5,7,1,[7.52698149997741],[7.5269914999371395],8,7,71,7,508.030582,,,,,,,,,508.0144493,508.030582,508.5147608,508.5148777,508.5304093,509.9465551,5,7,509.9475223,509.9623511,511.176228,511.176228,511.2094637,511.2756438,518.8033204,5,7,1,[7.52698149997741],[7.5269914999371395],508.5304093,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,72,0,9,7,5,6,9,1,[4.428695300011896],[4.4287107000127435],9,0,72,0,518.8204287,,,,,,,,,518.8036939,518.8204287,519.3039171,519.3040483,519.3197902,520.7352858,7,5,520.7362399,520.7511408,521.965073,521.965073,521.965073,522.0825967,526.5122114,6,9,1,[4.428695300011896],[4.4287107000127435],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
2,3,4,7,73,1,9,8,2,8,2,1,[4.0484011000953615],[4.048413000069559],9,1,73,1,526.5294918,,,,,,,,,526.5127335,526.5294918,527.0128399,527.0129648,527.0283085,528.4452682,8,2,528.4462176,528.4610542,529.6915838,529.6915838,529.7244035,529.8073391,533.8564735,8,2,1,[4.0484011000953615],[4.048413000069559],527.0283085,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
3,5,4,9,74,2,9,1,7,1,7,1,[3.8467779000056908],[3.8467933000065386],9,2,74,2,533.871912,,,,,,,,,533.856842,533.871912,534.3558035,534.3559281,534.3714931,535.7876145,1,7,535.7886183,535.8042152,537.0339266,537.0339266,537.0667432,537.1338927,540.9816163,1,7,1,[3.8467779000056908],[3.8467933000065386],534.3714931,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
4,8,4,12,75,3,9,5,7,5,9,1,[3.647498300066218],[3.6475159000838175],9,3,75,3,540.9977718,,,,,,,,,540.9821477,540.9977718,541.4818198,541.4819437,541.4977302,542.9141604,5,7,542.9151341,542.9293196,544.1431858,544.1431858,544.1775548,544.2595768,547.9080244,5,9,1,[3.647498300066218],[3.6475159000838175],541.4977302,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
5,2,5,7,76,4,9,3,5,3,5,1,[4.5131471999920905],[4.513164000003599],9,4,76,4,547.9247683,,,,,,,,,547.9085695,547.9247683,548.4084155,548.4085333,548.42413,549.8401666,3,5,549.8411284,549.856044,551.0697951,551.0697951,551.1033044,551.1696374,555.68375,3,5,1,[4.5131471999920905],[4.513164000003599],548.42413,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
6,3,5,8,77,5,9,7,2,7,2,1,[3.9483481000643224],[3.9483653000788763],9,5,77,5,555.7009598,,,,,,,,,555.6842588,555.7009598,556.2000528,556.2001832,556.2163826,557.6158193,7,2,557.6167854,557.6318823,558.8452026,558.8452026,558.8788816,558.9450119,562.8943323,7,2,1,[3.9483481000643224],[3.9483653000788763],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
7,5,5,10,78,6,9,7,9,7,9,1,[3.3828647999325767],[3.382882999954745],9,6,78,6,562.9090542,,,,,,,,,562.8948275,562.9090542,563.3942582,563.3943762,563.4093809,564.8252524,7,9,564.8261952,564.8410541,566.0546691,566.0546691,566.0879731,566.1716182,569.5554571,7,9,1,[3.3828647999325767],[3.382882999954745],563.4093809,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
8,8,5,13,79,7,9,4,8,4,8,1,[3.6148100999416783],[3.614826299948618],9,7,79,7,569.5701371,,,,,,,,,569.5559508,569.5701371,570.0536517,570.0537692,570.0690064,571.4852753,4,8,571.4862192,571.501186,572.7152869,572.7152869,572.7478142,572.8144355,576.4301775,4,8,1,[3.6148100999416783],[3.614826299948618],570.0690064,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,80,0,10,8,8,8,9,1,[3.264998900005594],[3.265008799964562],10,0,80,0,576.4464353,,,,,,,,,576.4306872,576.4464353,576.9308472,576.9309626,576.9457791,578.3614382,8,8,578.3623887,578.3776489,579.5912698,579.5912698,579.6249559,579.6918219,582.957567,8,9,1,[3.264998900005594],[3.265008799964562],576.9457791,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
2,3,4,7,81,1,10,7,1,7,1,1,[4.013854300021194],[4.013870400027372],10,1,81,1,582.9729582,,,,,,,,,582.9579259,582.9729582,583.4569525,583.4570678,583.4729628,584.8891589,7,1,584.8901325,584.9048539,586.1189821,586.1189821,586.1519723,586.2357101,590.2505361,7,1,1,[4.013854300021194],[4.013870400027372],583.4729628,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
3,5,4,9,82,2,10,8,2,8,2,1,[4.213253399939276],[4.213269299943931],10,2,82,2,590.2652383,,,,,,,,,590.2510434,590.2652383,590.7496584,590.7497823,590.7654091,592.1818747,8,2,592.1828219,592.1972274,593.4109713,593.4109713,593.4109713,593.5273848,597.7416223,8,2,1,[4.213253399939276],[4.213269299943931],590.7654091,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
4,8,4,12,83,3,10,4,3,4,3,1,[4.09710430004634],[4.097119800047949],10,3,83,3,597.7582636,,,,,,,,,597.7421323,597.7582636,598.2423049,598.2424278,598.2575962,599.6740712,4,3,599.6750411,599.6900491,600.9037655,600.9037655,600.9366876,601.0200362,605.1181179,4,3,1,[4.09710430004634],[4.097119800047949],598.2575962,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
5,2,5,7,84,4,10,1,4,1,7,1,[3.214691699948162],[3.2147098999703303],10,4,84,4,605.133778,,,,,,,,,605.1186837,605.133778,605.6186891,605.6188281,605.6340241,607.0501182,1,4,607.0510766,607.0659877,608.2966125,608.2966125,608.3300692,608.3959286,611.6116075,1,7,1,[3.214691699948162],[3.2147098999703303],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
6,3,5,8,85,5,10,4,2,4,2,1,[4.3469471000134945],[4.346963300020434],10,5,85,5,611.627754,,,,,,,,,611.6121096,611.627754,612.1119616,612.112079,612.1271168,613.5437174,4,2,613.544696,613.5599872,614.7731889,614.7731889,614.8068649,614.8894692,619.237425,4,2,1,[4.3469471000134945],[4.346963300020434],612.1271168,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
7,5,5,10,86,6,10,8,6,6,9,1,[3.8815995999611914],[3.881615399965085],10,6,86,6,619.254045,,,,,,,,,619.2379512,619.254045,619.7376974,619.7378201,619.7532762,621.1698718,8,6,621.1708148,621.1857644,622.3993018,622.3993018,622.4321462,622.499048,626.381638,6,9,1,[3.8815995999611914],[3.881615399965085],619.7532762,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
8,8,5,13,87,7,10,4,1,4,1,1,[4.564736500033177],[4.564748000004329],10,7,87,7,626.3968581,,,,,,,,,626.3821423,626.3968581,626.8810213,626.8811393,626.896606,628.3123979,4,1,628.3133365,628.3281548,629.5421109,629.5421109,629.5421109,629.6416741,634.2071925,4,1,1,[4.564736500033177],[4.564748000004329],626.896606,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,88,0,11,9,6,9,6,1,[3.8804855999769643],[3.8805012999800965],11,0,88,0,634.2223436,,,,,,,,,634.207558,634.2223436,634.7058103,634.7059423,634.7218599,636.1379199,9,6,636.1389493,636.1539965,637.3679653,637.3679653,637.4012576,637.4842334,641.3657292,9,6,1,[3.8804855999769643],[3.8805012999800965],634.7218599,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
2,3,4,7,89,1,11,7,6,7,8,1,[3.581034400034696],[3.5810498000355437],11,1,89,1,641.3820336,,,,,,,,,641.3662385,641.3820336,641.8656897,641.8658106,641.8810117,643.2974487,7,6,643.2983874,643.3134268,644.5271982,644.5271982,644.5620636,644.626688,648.2087101,7,8,1,[3.581034400034696],[3.5810498000355437],641.8810117,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
3,5,4,9,90,2,11,9,9,2,9,1,[4.2310162000358105],[4.231032600044273],11,2,90,2,648.2251335,,,,,,,,,648.2092159,648.2251335,648.7096299,648.7097449,648.7249506,650.1408641,9,9,650.1418033,650.1563372,651.3870823,651.3870823,651.3870823,651.5035811,655.7356068,2,9,1,[4.2310162000358105],[4.231032600044273],648.7249506,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
4,8,4,12,91,3,11,4,4,4,6,1,[4.56440020003356],[4.564418700058013],11,3,91,3,655.7509484,,,,,,,,,655.7361134,655.7509484,656.234851,656.2349682,656.2504515,657.6671297,4,4,657.6680949,657.6824798,658.8963056,658.8963056,658.9291816,658.995832,663.5612775,4,6,1,[4.56440020003356],[4.564418700058013],656.2504515,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
5,2,5,7,92,4,11,8,3,8,3,1,[4.7304494000272825],[4.730465400032699],11,4,92,4,663.5764828,,,,,,,,,663.5616466,663.5764828,664.060352,664.0604664,664.0760531,665.4916654,8,3,665.4926078,665.5076522,666.7218648,666.7218648,666.7218648,666.8213438,671.5528234,8,3,1,[4.7304494000272825],[4.730465400032699],664.0760531,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
6,3,5,8,93,5,11,8,8,8,3,1,[3.51423510001041],[3.5142446999670938],11,5,93,5,671.5686906,,,,,,,,,671.5533187,671.5686906,672.0520994,672.0522242,672.0679661,673.484209,8,8,673.4851471,673.5000066,674.7139318,674.7139318,674.7471982,674.8138542,678.3288611,8,3,1,[3.51423510001041],[3.5142446999670938],672.0679661,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
7,5,5,10,94,6,11,3,7,3,7,1,[4.082066199975088],[4.082075499929488],11,6,94,6,678.3452844,,,,,,,,,678.3292434,678.3452844,678.829026,678.8291407,678.844697,680.2608144,3,7,680.2617735,680.2762433,681.4905535,681.4905535,681.5233704,681.6068695,685.6897307,3,7,1,[4.082066199975088],[4.082075499929488],678.844697,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
8,8,5,13,95,7,11,5,6,5,6,1,[4.513243700028397],[4.513253799988888],11,7,95,7,685.7050506,,,,,,,,,685.6900867,685.7050506,686.1884506,686.1885682,686.2039645,687.6198379,5,6,687.6207638,687.6360566,688.8498972,688.8498972,688.8828035,688.9659721,693.4800206,5,6,1,[4.513243700028397],[4.513253799988888],686.2039645,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,96,0,12,7,4,4,7,1,[3.748195599997416],[3.74820589995943],12,0,96,0,693.4968606,,,,,,,,,693.4803927,693.4968606,693.9806823,693.980799,693.9959336,695.414073,7,4,695.4150201,695.4278839,696.6584553,696.6584553,696.6584553,696.7749398,700.5239289,4,7,1,[3.748195599997416],[3.74820589995943],693.9959336,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
2,3,4,7,97,1,12,5,1,5,6,1,[3.4474545000120997],[3.4474705000175163],12,1,97,1,700.539672,,,,,,,,,700.5243041,700.539672,701.023356,701.0234739,701.0388623,702.4555859,5,1,702.4565814,702.4717358,703.6850752,703.6850752,703.7179423,703.8015099,707.2499982,5,6,1,[3.4474545000120997],[3.4474705000175163],701.0388623,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
3,5,4,9,98,2,12,4,5,4,8,1,[3.614462500088848],[3.6144778000889346],12,2,98,2,707.2666318,,,,,,,,,707.2505314,707.2666318,707.7504104,707.7505296,707.7660987,709.1821076,4,5,709.1830529,709.1981134,710.4280384,710.4280384,710.4621315,710.5279519,714.1434708,4,8,1,[3.614462500088848],[3.6144778000889346],707.7660987,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
4,8,4,12,99,3,12,4,8,2,8,1,[4.263256699894555],[4.263272199896164],12,3,99,3,714.1596914,,,,,,,,,714.1439946,714.1596914,714.6439407,714.6440544,714.6590957,716.074965,4,8,716.0758942,716.0906309,717.3222566,717.3222566,717.3222566,717.4377793,721.7020947,2,8,1,[4.263256699894555],[4.263272199896164],714.6590957,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
5,2,5,7,100,4,12,8,8,8,5,1,[3.913872000062838],[3.9138877000659704],12,4,100,4,721.7185106,,,,,,,,,721.7025984,721.7185106,722.2028032,722.2029198,722.2185809,723.6340308,8,8,723.6349812,723.650002,724.8642035,724.8642035,724.897565,724.9637144,728.8786545,8,5,1,[3.913872000062838],[3.9138877000659704],722.2185809,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
6,3,5,8,101,5,12,9,4,9,7,1,[2.932034100056626],[2.9320503000635654],12,5,101,5,728.8949557,,,,,,,,,728.8791682,728.8949557,729.378904,729.379022,729.3944982,730.8106566,9,4,730.8115862,730.8265092,732.0399834,732.0399834,732.0730515,732.1396614,735.0727427,9,7,1,[2.932034100056626],[2.9320503000635654],729.3944982,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
7,5,5,10,102,6,12,3,5,3,5,1,[4.197710299980827],[4.197727099992335],12,6,102,6,735.0885959,,,,,,,,,735.0732403,735.0885959,735.5732408,735.5733591,735.5883956,737.0044008,3,5,737.0052711,737.020051,738.2342394,738.2342394,738.2342394,738.3342128,742.5330121,3,5,1,[4.197710299980827],[4.197727099992335],735.5883956,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
8,8,5,13,103,7,12,7,4,7,4,1,[3.313891700003296],[3.3139020999660715],12,7,103,7,742.5483323,,,,,,,,,742.5335068,742.5483323,743.0319707,743.032088,743.0475594,744.4643669,7,4,744.4653055,744.4802465,745.6935096,745.6935096,745.7268402,745.7936215,749.108324,7,4,1,[3.313891700003296],[3.3139020999660715],743.0475594,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,104,0,13,6,2,6,2,1,[3.7980463999556378],[3.7980626999633387],13,0,104,0,749.1250202,,,,,,,,,749.1087049,749.1250202,749.6089014,749.6090222,749.6244222,751.0403312,6,2,751.0412922,751.0563693,752.2703393,752.2703393,752.3036697,752.3702641,756.1693897,6,2,1,[3.7980463999556378],[3.7980626999633387],749.6244222,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
