trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,thank_you.started,text_2.started,key_resp.started,thank_you.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
2,3,4,7,9,1,1,9,2,9,2,1,[4.165193900000304],[4.165209300001152],1,1,9,1,67.8509842,,,,,,,,,67.8362545,67.8509842,68.3342075,68.3343197,68.3504843,69.7661157,9,2,69.7670701,69.782411,70.996096,70.996096,71.0291796,71.0967001,75.2625363,9,2,1,[4.165193900000304],[4.165209300001152],68.3504843,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
3,5,4,9,10,2,1,3,3,3,6,1,[4.013287500012666],[4.013303500018083],1,2,10,2,75.2768818,,,,,,,,,75.2630468,75.2768818,75.7611546,75.7612687,75.7771847,77.1927251,3,3,77.1936764,77.2084177,78.4223075,78.4223075,78.4554595,78.5218497,82.5357994,3,6,1,[4.013287500012666],[4.013303500018083],75.7771847,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
4,8,4,12,11,3,1,6,9,6,3,1,[3.4805856000166386],[3.4806006000144407],1,3,11,3,82.5527923,,,,,,,,,82.536325,82.5527923,83.0367933,83.0369329,83.052402,84.4682325,6,9,84.4691851,84.4844303,85.6984642,85.6984642,85.7317743,85.798303,89.2795169,6,3,1,[3.4805856000166386],[3.4806006000144407],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
5,2,5,7,12,4,1,7,1,,,1,[6.710424300050363],[6.710439600050449],1,4,12,4,89.296433,,,,,,,,,89.2800236,89.296433,89.7795654,89.7796807,89.7957409,91.2118403,7,1,91.2127907,91.2274309,92.441211,92.441211,92.441211,92.5260814,92.5093462,,,1,[6.710424300050363],[6.710439600050449],89.7957409,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
6,3,5,8,13,5,1,4,4,7,1,1,[3.6975105999736115],[3.697530800011009],1,5,13,5,92.5260814,,,,,,,,,92.5098673,92.5260814,93.0098674,93.009991,93.0262416,94.4416471,4,4,94.4429553,94.4578174,95.672318,95.672318,95.7049093,95.7880217,99.4862548,7,1,1,[3.6975105999736115],[3.697530800011009],93.0262416,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
7,5,5,10,14,6,1,5,8,5,8,1,[3.3978482999373227],[3.3978658999549225],1,6,14,6,99.5030098,,,,,,,,,99.4868009,99.5030098,99.9868662,99.9870442,100.0020905,101.4180664,5,8,101.4191031,101.4343051,102.6488128,102.6488128,102.6812407,102.7478436,106.1463542,5,8,1,[3.3978482999373227],[3.3978658999549225],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
8,8,5,13,15,7,1,6,5,6,3,1,[6.378528399975039],[6.37853919994086],1,7,15,7,106.1630307,,,,,,,,,106.1468798,106.1630307,106.6467187,106.6468419,106.6624159,108.0781042,6,5,108.0791533,108.0943395,109.2913393,109.2913393,109.3249671,109.4248721,115.8039135,6,3,1,[6.378528399975039],[6.37853919994086],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,16,0,2,2,2,2,7,1,[3.548007300007157],[3.548023200011812],2,0,16,0,115.8200266,,,,,,,,,115.8042935,115.8200266,116.3035678,116.3036815,116.3194061,117.7365637,2,2,117.7375309,117.7515249,118.966071,118.966071,118.966071,119.0648376,122.6136292,2,7,1,[3.548007300007157],[3.548023200011812],116.3194061,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
2,3,4,7,17,1,2,1,2,1,8,1,[6.095683000050485],[6.095711400033906],2,1,17,1,122.6300029,,,,,,,,,122.6141528,122.6300029,123.1138524,123.113965,123.1294111,124.5457175,1,2,124.5466758,124.5614666,125.7917338,125.7917338,125.8247389,125.8915783,131.9879679,1,8,1,[6.095683000050485],[6.095711400033906],123.1294111,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
3,5,4,9,18,2,2,5,6,5,6,1,[3.7803394999355078],[3.7803556999424472],2,2,18,2,132.0037202,,,,,,,,,131.9885364,132.0037202,132.4875966,132.4877099,132.5034953,133.9188468,5,6,133.9198061,133.9354724,135.1493261,135.1493261,135.1827603,135.24878,139.0297978,5,6,1,[3.7803394999355078],[3.7803556999424472],132.5034953,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
