staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
66,0.5,3.5,64.00465019999956,,63.989180399999896,64.00465019999956,64.50394629999937,64.50394629999937,64.50394629999937,64.80397289999928,65.30391869999949,right,3.5,1,1,0.7888014000000112,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
67,0.5,3.0,65.32000609999977,,65.30423679999967,65.32000609999977,65.81917129999965,65.81917129999965,65.81917129999965,66.11943519999932,66.41973639999924,left,-3.0,1,1,0.5956105999994179,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
68,0.5,3.0,66.43549709999934,,66.42004649999944,66.43549709999934,66.93519729999934,66.93519729999934,66.93519729999934,67.23489769999924,67.36830099999952,left,-3.0,0,0,0.420481899999686,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
69,0.5,3.5,67.38483439999982,,67.36861659999977,67.38483439999982,67.86729469999955,67.86729469999955,67.88426309999977,,68.1344253999996,right,3.5,0,0,0.26418869999997696,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
70,0.5,4.0,68.15044999999918,,68.1347511999993,68.15044999999918,68.65007329999935,68.65007329999935,68.65007329999935,68.94955749999917,68.95033519999924,left,-4.0,1,1,0.28601530000014463,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
71,0.5,4.0,68.96635109999988,,68.95064659999935,68.96635109999988,69.4489266999999,69.4489266999999,69.4661145,,69.70004929999959,left,-4.0,1,1,0.24002390000077867,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
72,0.5,4.0,69.71567489999961,,69.7003425999992,69.71567489999961,70.21535809999932,70.21535809999932,70.21535809999932,,70.43210559999989,left,-4.0,1,1,0.2127967999995235,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
73,0.5,3.5,70.44816399999945,,70.43241689999923,70.44816399999945,70.94780719999926,70.94780719999926,70.94780719999926,,71.21442879999995,left,-3.5,1,1,0.2637590000003911,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
74,0.5,3.5,71.23078239999995,,71.21473889999925,71.23078239999995,71.7307151999994,71.7307151999994,71.7307151999994,72.03028359999917,72.14683509999941,left,-3.5,0,0,0.4002150000005713,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
75,0.5,4.0,72.16346369999974,,72.14719129999958,72.16346369999974,72.64620439999999,72.64620439999999,72.6629555999998,72.94577589999972,73.27971619999971,right,4.0,1,1,0.6169163000004119,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
76,0.5,4.0,73.29534129999956,,73.28003029999945,73.29534129999956,73.79483309999978,73.79483309999978,73.79483309999978,74.0946858999996,74.27815059999921,left,-4.0,1,1,0.4804201999995712,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
77,0.5,4.0,74.2943467999994,,74.27844969999933,74.2943467999994,74.77750209999977,74.77750209999977,74.79420979999941,75.07715329999974,75.16117369999938,left,-4.0,0,0,0.37073359999976674,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
78,0.5,4.5,75.17723789999945,,75.1614910999997,75.17723789999945,75.67648259999987,75.67648259999987,75.67648259999987,75.97607309999967,76.55903269999999,right,4.5,1,1,0.7829520999994202,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
79,0.5,4.5,76.57505299999957,,76.55934629999956,76.57505299999957,77.05854849999923,77.05854849999923,77.07525179999993,77.35824889999913,77.50888979999945,right,4.5,1,1,0.4357625000002372,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
80,0.5,4.5,77.52469369999926,,77.5091837,77.52469369999926,78.02378739999949,78.02378739999949,78.02378739999949,78.32391039999948,78.3914348999997,left,-4.5,1,1,0.356595300000663,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
81,0.5,4.0,78.40722509999978,,78.39173219999975,78.40722509999978,78.90616789999967,78.90616789999967,78.90616789999967,79.20625729999938,79.3903593999994,left,-4.0,1,1,0.46909619999951246,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
82,0.5,4.0,79.40611369999988,,79.39067279999927,79.40611369999988,79.90558079999937,79.90558079999937,79.90558079999937,80.20522429999983,80.48917509999956,left,-4.0,1,1,0.5687559999996665,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
