reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,t,0.7611466000089422,None,0,0,0,3,0.11560650001047179,,0.1013202000176534,0.11560650001047179,0.9996161000162829,0.9996161000162829,1.1159039000049233,1.776207400020212,t,0.7611466000089422,None,p4,001,2025-11-02_19h33.17.557,delay discounting task,,2025.1.1,60.12209595477864,2025-11-02 19h37.17.716880 +0530,
11,30,7,1,1,0,l,0.9818010999879334,None,0,1,1,0,1.7965975000115577,,1.7881859000190161,1.7965975000115577,2.7809757000068203,2.7809757000068203,2.7970550000027288,3.76382900000317,l,0.9818010999879334,None,p4,001,2025-11-02_19h33.17.557,delay discounting task,,2025.1.1,60.12209595477864,2025-11-02 19h37.17.716880 +0530,
15,35,13,2,2,0,t,0.7532195000094362,None,0,2,2,1,3.7796086000162177,,3.7706323000020348,3.7796086000162177,4.77864520001458,4.77864520001458,4.77864520001458,5.546113500022329,t,0.7532195000094362,None,p4,001,2025-11-02_19h33.17.557,delay discounting task,,2025.1.1,60.12209595477864,2025-11-02 19h37.17.716880 +0530,
49,60,89,3,3,0,t,2.347843900002772,None,0,3,3,4,5.57668240001658,,5.556364699994447,5.57668240001658,6.561072600015905,6.561072600015905,6.57736009999644,8.926015700009884,t,2.347843900002772,None,p4,001,2025-11-02_19h33.17.557,delay discounting task,,2025.1.1,60.12209595477864,2025-11-02 19h37.17.716880 +0530,
27,50,21,4,4,0,t,1.2876456000085454,None,0,4,4,2,8.941105600009905,,8.9327441000205,8.941105600009905,9.941075100010494,9.941075100010494,9.941075100010494,11.239610699994955,t,1.2876456000085454,None,p4,001,2025-11-02_19h33.17.557,delay discounting task,,2025.1.1,60.12209595477864,2025-11-02 19h37.17.716880 +0530,
78,80,162,5,5,0,t,1.304074200015748,None,0,5,5,6,11.255612900014967,,11.246555699995952,11.255612900014967,12.255256600008579,12.255256600008579,12.271892300021136,13.570526800001971,t,1.304074200015748,None,p4,001,2025-11-02_19h33.17.557,delay discounting task,,2025.1.1,60.12209595477864,2025-11-02 19h37.17.716880 +0530,
67,75,119,6,6,0,t,2.185332199995173,None,0,6,6,5,13.58654440002283,,13.577240000013262,13.58654440002283,14.5862071000156,14.5862071000156,14.5862071000156,16.784936400013976,t,2.185332199995173,None,p4,001,2025-11-02_19h33.17.557,delay discounting task,,2025.1.1,60.12209595477864,2025-11-02 19h37.17.716880 +0530,
40,55,62,7,0,1,l,1.7269809000135865,None,1,0,7,3,16.800676700018812,,16.7908133000019,16.800676700018812,17.799285000015516,17.799285000015516,17.816103400022257,19.532118100003572,l,1.7269809000135865,None,p4,001,2025-11-02_19h33.17.557,delay discounting task,,2025.1.1,60.12209595477864,2025-11-02 19h37.17.716880 +0530,
78,80,162,8,1,1,t,1.220156199997291,None,1,1,8,6,19.562977800000226,,19.539810600021156,19.562977800000226,20.54645170000731,20.54645170000731,20.563388100010343,21.779681800020626,t,1.220156199997291,None,p4,001,2025-11-02_19h33.17.557,delay discounting task,,2025.1.1,60.12209595477864,2025-11-02 19h37.17.716880 +0530,
67,75,119,9,2,1,t,1.5852817999839317,None,1,2,9,5,21.7951166999992,,21.786543499998515,21.7951166999992,22.7941827000177,22.7941827000177,22.7941827000177,24.394348700006958,t,1.5852817999839317,None,p4,001,2025-11-02_19h33.17.557,delay discounting task,,2025.1.1,60.12209595477864,2025-11-02 19h37.17.716880 +0530,
