trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction.started,key_resp1.started,instructions.stopped,key_resp1.keys,key_resp1.rt,key_resp1.duration,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,thank_you.started,text_2.started,key_resp.started,thank_you.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,0.0181966,0.0362858,0.0362858,1.2875331,space,1.2297753,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p5,1,2025-11-23_20h42.17.638,untitled,,2025.1.1,59.32141052,2025-11-23 20h42.25.415404 +0530
1,2,4,6,0,0,0,7,3,7,3,1,[3.6452759000239894],[3.6452951000537723],0,0,0,0,1.3332872,,,,,,,,,1.3168974,1.3332872,1.8011186,1.8012803,1.8323471,3.2165069,7,3,3.2183317,3.2326786,4.4655855,4.4655855,4.4966039,4.5650245,8.210939,7,3,1,[3.6452759000239894],[3.6452951000537723],,,,,,,,,p5,1,2025-11-23_20h42.17.638,untitled,,2025.1.1,59.32141052,2025-11-23 20h42.25.415404 +0530
2,3,4,7,1,1,0,8,5,8,5,1,[5.429192000068724],[5.429208200075664],0,1,1,1,8.2279414,,,,,,,,,8.2115336,8.2279414,8.7109723,8.7110838,8.7270285,10.1428406,8,5,10.1438287,10.159167,11.3727729,11.3727729,11.406251,11.4892542,16.9190746,8,5,1,[5.429192000068724],[5.429208200075664],8.7270285,,,,,,,,p5,1,2025-11-23_20h42.17.638,untitled,,2025.1.1,59.32141052,2025-11-23 20h42.25.415404 +0530
3,5,4,9,2,2,0,1,8,1,8,1,[3.2974094999954104],[3.297420100076124],0,2,2,2,16.9360296,,,,,,,,,16.9195932,16.9360296,17.4191214,17.4192383,17.4344719,18.8513336,1,8,18.8523318,18.8673269,20.0816656,20.0816656,20.0816656,20.1810654,23.4789489,1,8,1,[3.2974094999954104],[3.297420100076124],17.4344719,,,,,,,,p5,1,2025-11-23_20h42.17.638,untitled,,2025.1.1,59.32141052,2025-11-23 20h42.25.415404 +0530
4,8,4,12,3,3,0,7,4,7,6,1,[3.24802069994621],[3.2480339999310672],0,3,3,3,23.4956156,,,,,,,,,23.4793255,23.4956156,23.978807,23.9789209,23.9955893,25.4111171,7,4,25.4121165,25.4273242,26.6413689,26.6413689,26.6747199,26.7412971,29.9898186,7,6,1,[3.24802069994621],[3.2480339999310672],23.9955893,,,,,,,,p5,1,2025-11-23_20h42.17.638,untitled,,2025.1.1,59.32141052,2025-11-23 20h42.25.415404 +0530
5,2,5,7,4,4,0,3,9,3,9,1,[2.9139650999568403],[2.913981599966064],0,4,4,4,30.0058792,,,,,,,,,29.9902029,30.0058792,30.4891581,30.4892715,30.5053464,31.9209975,3,9,31.9220012,31.9372961,33.1515642,33.1515642,33.1848262,33.2520629,36.1667169,3,9,1,[2.9139650999568403],[2.913981599966064],30.5053464,,,,,,,,p5,1,2025-11-23_20h42.17.638,untitled,,2025.1.1,59.32141052,2025-11-23 20h42.25.415404 +0530
6,3,5,8,5,5,0,6,4,6,5,1,[7.460373800015077],[7.460391900036484],0,5,5,5,36.18327,,,,,,,,,36.1672497,36.18327,36.6665664,36.6666831,36.6823513,38.0977442,6,4,38.0985546,38.1148586,39.3116962,39.3116962,39.3449988,39.4452659,46.9063231,6,5,1,[7.460373800015077],[7.460391900036484],36.6823513,,,,,,,,p5,1,2025-11-23_20h42.17.638,untitled,,2025.1.1,59.32141052,2025-11-23 20h42.25.415404 +0530
7,5,5,10,6,6,0,5,1,5,1,1,[3.7319209000561386],[3.731939399964176],0,6,6,6,46.9237281,,,,,,,,,46.9067817,46.9237281,47.4224745,47.4225985,47.4394873,48.8382829,5,1,48.8391419,48.8544756,50.0678159,50.0678159,50.1013264,50.1682175,53.900785,5,1,1,[3.7319209000561386],[3.731939399964176],,,,,,,,,p5,1,2025-11-23_20h42.17.638,untitled,,2025.1.1,59.32141052,2025-11-23 20h42.25.415404 +0530
8,8,5,13,7,7,0,6,7,6,7,1,[4.3301281000021845],[4.330144800012931],0,7,7,7,53.9157128,,,,,,,,,53.9012961,53.9157128,54.3994299,54.3995438,54.4150993,55.8318351,6,7,55.8332748,55.8476582,57.0609437,57.0609437,57.094938,57.1614772,61.4922531,6,7,1,[4.3301281000021845],[4.330144800012931],54.4150993,,,,,,,,p5,1,2025-11-23_20h42.17.638,untitled,,2025.1.1,59.32141052,2025-11-23 20h42.25.415404 +0530
1,2,4,6,8,0,1,2,2,2,3,1,[3.7304516000440344],[3.730462300009094],1,0,8,0,61.5085021,,,,,,,,,61.4927709,61.5085021,61.9918655,61.9920228,62.0077447,63.4229984,2,2,63.4240016,63.4393837,64.65357,64.65357,64.65357,64.7529299,68.4838854,2,3,1,[3.7304516000440344],[3.730462300009094],62.0077447,,,,,,,,p5,1,2025-11-23_20h42.17.638,untitled,,2025.1.1,59.32141052,2025-11-23 20h42.25.415404 +0530
